bar,onset
1,0.8839002267573696
2,2.7847619047619045
3,5.540226757369615
4,8.33124716553288
5,11.122267573696146
6,13.95047619047619
7,16.71673469387755
8,19.52943310657596
9,22.323446712018143
10,25.108390022675735
11,27.857687074829933
12,30.68734693877551
13,33.43038548752835
14,36.21659863945579
15,38.98621315192743
16,41.82784580498867
17,44.62648526077098
18,47.38176870748298
19,50.1904761904762
20,52.98757369614513
21,55.81587301587302
22,58.594648526077094
23,61.87020408163266
24,64.68136054421768
25,67.49251700680273
26,70.2508843537415
27,73.09160997732428
28,75.80662131519276
29,78.59782312925171
30,81.4314739229025
31,84.22285714285714
32,87.01097505668935
33,89.79600907029479
34,92.79292517006803
35,95.34866213151928
36,98.13659863945578
37,100.94775510204082
38,103.73569160997732
39,106.49088435374149
40,109.27238095238096
41,112.0930612244898
42,114.88743764172335
